,Date,Ship to,seq01,seq02,seq03,seq04,seq05,seq06,seq07
0,2019-02-08,30000162,1.8133745,1.8058878,1.8306081000000003,1.8016853,1.8114675,1.7943398999999998,1.7952580000000002
0,2019-02-07,30000162,1.8058878,1.8306081000000003,1.8016853,1.8114675,1.7943398999999998,1.7952580000000002,1.7761528000000002
0,2019-02-06,30000162,1.8306081000000003,1.8016853,1.8114675,1.7943398999999998,1.7952580000000002,1.7761528000000002,1.8058171000000003
0,2019-02-05,30000162,1.8016853,1.8114675,1.7943398999999998,1.7952580000000002,1.7761528000000002,1.8058171000000003,1.8158112000000002
0,2019-02-04,30000162,1.8114675,1.7943398999999998,1.7952580000000002,1.7761528000000002,1.8058171000000003,1.8158112000000002,1.7900668000000002
0,2019-02-03,30000162,1.7943398999999998,1.7952580000000002,1.7761528000000002,1.8058171000000003,1.8158112000000002,1.7900668000000002,1.8170825000000002
0,2019-02-02,30000162,1.7952580000000002,1.7761528000000002,1.8058171000000003,1.8158112000000002,1.7900668000000002,1.8170825000000002,1.8039455000000002
0,2019-02-01,30000162,1.7761528000000002,1.8058171000000003,1.8158112000000002,1.7900668000000002,1.8170825000000002,1.8039455000000002,1.7972709999999998
0,2019-01-31,30000162,1.8058171000000003,1.8158112000000002,1.7900668000000002,1.8170825000000002,1.8039455000000002,1.7972709999999998,1.8000255
0,2019-01-30,30000162,1.8158112000000002,1.7900668000000002,1.8170825000000002,1.8039455000000002,1.7972709999999998,1.8000255,1.7950108
0,2019-01-29,30000162,1.7900668000000002,1.8170825000000002,1.8039455000000002,1.7972709999999998,1.8000255,1.7950108,1.7579657
0,2019-01-28,30000162,1.8170825000000002,1.8039455000000002,1.7972709999999998,1.8000255,1.7950108,1.7579657,1.7514325000000002
0,2019-01-27,30000162,1.8039455000000002,1.7972709999999998,1.8000255,1.7950108,1.7579657,1.7514325000000002,1.7870297
0,2019-01-26,30000162,1.7972709999999998,1.8000255,1.7950108,1.7579657,1.7514325000000002,1.7870297,1.8044398999999998
